Title,Description,Target
OMG 2,An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,1
Melancholie der Engel,"Two friends meet again to share their last days in an old house where everything happened a long time ago. They gather a group of people, which results in a disastrous turn of events, during which reveals the deepest human depths.",0
Arsenic and Old Lace,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,1
Gallipoli,Two Australian sprinters face the brutal realities of war when they are sent to fight in the Gallipoli campaign in Turkey during World War I.,1
The Cleansing Hour,"Another successful ""exorcism"" streamed online - or so it seems. Can the ""exorcist"", producer and their team bring the ratings up? Ratings skyrocket, when a real demon gets involved.",0
Unlawful Entry,A burglar holds a knife to Karen's throat while her husband does nothing. The couple ends up befriending the cop that comes. The friendship ends when the cop beats up the culprit. Karen isn't ready to end it. Things get ugly with the cop.,0
The Greatest Night in Pop,"On January 28th 1985, dozens of the era's most popular musicians gathered in Los Angeles to record a charity single for African famine relief. Setting egos aside, they collaborated on a song that would make history.",1
The Keyhole,"A woman (Kay Francis) with two husbands (Monroe Owsley,Henry Kolker) tries to divorce one of them by heading down to Havana where things get more complicated.",0
Rock-A-Doodle,"In order to defeat the wicked Grand Duke of Owls, a young boy, transformed into a cat, teams up with a group of barnyard animals to find the rooster who can raise the sun.",0
Kinky Boots,"A drag queen comes to the rescue of a man who, after inheriting his father's shoe factory, needs to diversify his product if he wants to keep the business afloat.",1
Saved!,"When a girl attending a Christian high school becomes pregnant, all of her former friends turn on her and she is ostracized and demonized.",0
The Message,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,1
Dangerous,"Rashmi, an aspiring model, rents an apartment and meets married neighbor Nalini. They fall in love and plot to steal from Nalini's gangster husband. Will the risky con work?",0
Father of the Bride Part II,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",0
The Ipcress File,"In London, a wisecracking spy investigates the kidnapping and brainwashing of British scientists while dealing with the constraints of his agency's bureaucracy.",1
Lost River,"A single mother is swept into a dark underworld, while her teenage son discovers a road that leads him to a secret underwater town.",0
24 Hour Party People,"In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.",1
The Duellists,"France, 1801. Due to a minor perceived slight, mild-mannered Lieutenant d'Hubert is forced into a duel with hot-headed irrational Lieutenant Feraud. The disagreement ultimately results in scores of duels spanning several years.",1
One Fine Day,"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.",0
Touch Me Not,"Together, a filmmaker and her characters venture into a personal research project about intimacy. On the fluid border between reality and fiction, Touch Me Not follows the emotional journeys of Laura, Tómas and Christian, offering a deeply empathic insight into their lives.",0
Doc Hollywood,A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.,0
The Best Little Whorehouse in Texas,A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.,0
Get Carter,"When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.",1
Wildlike,"After conditions in her new home become unbearable, a teenage girl runs away and befriends an older man preparing for a hike through the Alaskan wilderness.",0
The Legend of Hercules,"The origin story of the mythical Greek hero. Betrayed by his stepfather, the King, and exiled and sold into slavery because of a forbidden love, Hercules must use his formidable powers to fight his way back to his rightful kingdom.",0
Sharp Stick,"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother and sister. She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",0
School Dance,A high school freshman wants to be part of the most popular dance clique in his school but he tends to freeze in the spotlight and has no clue how he's going to pass the initiation.,0
Ah fei jing juen,A man tries to find out who his real mother is after the woman who raised him tells him the truth.,1
White Squall,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,0
30 Minutes or Less,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...",0
A Mouthful of Air,"Julie Davis writes bestselling children's books about unlocking your fears, but has yet to unlock her own. When her daughter is born, that trauma is brought to the fore, and with it, a crushing battle to survive.",0
Before Dawn,The journey of fictional WA outback kid Jim Collins and his battalion on the Western Front.,0
Divinity,"Centers on two mysterious brothers, who abduct a mogul during his quest for immortality. Meanwhile, a seductive woman helps them launch a journey of self-discovery.",0
Caligula: The Ultimate Cut,"Follows Caligula as he kills his devious adoptive grandfather and takes control of the decadent Roman Empire, spiralling into depravity, devastation, and madness.",0
Dangerous Beauty,"A Venetian courtesan becomes a hero to her city, but later becomes the target of an inquisition by the Church for witchcraft.",1
Crimes of Passion,"A mysterious woman, fashion designer by day and prostitute by night, is hounded by two men: a married father of two children and a sexually repressed preacher.",0
Hallam Foe,"Hallam's talent for spying on people reveals his darkest fears-and his most peculiar desires. Driven to expose the true cause of his mother's death, he instead finds himself searching the rooftops of the city for love.",0
Kinsey,"A look at the life of Alfred Kinsey, a pioneer in the area of human sexuality research, whose 1948 publication ""Sexual Behavior in the Human Male"" was one of the first recorded works that saw science address sexual behavior.",1
F/X,"A movie special effects man is hired to fake a real-life mob killing for a witness protection plan, but finds his own life in danger.",0
Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,1
Perfetti sconosciuti,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.",1
Prityazhenie,"After a spaceship crash-lands in the center of Moscow, a young woman finds herself torn between loyalty to her seemingly normal life and the allure of a new state of being promised by one of the aliens.",0
Sex with Strangers,A documentary film about couples that swing.,0
Party Girl,"A 20-something, irresponsible party girl is bailed out of jail by her librarian godmother. To repay the loan, she starts working at the library and gradually turns her life around.",0
Lo chiamavano Trinità...,"A lazy, unorthodox gunfighter and his portly, horse-thieving brother defend a Mormon settlement from a land-grabbing Major, a Mexican bandit, and their henchmen.",1
Next Gen,"A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman.",0
The Vagabonds,"A middle-aged woman with a preference for younger partners, mainly men in their 20s, searches for a genuine human connection while faced with societal double standards, prejudice and toxic masculinity.",0
Comanche Station,"A man saves a woman who had been kidnapped by Comanches, then struggles to get both of them home alive.",1
The Alamo,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio Texas.",0
Dance of the Vampires,"A noted professor and his dim-witted apprentice fall prey to their inquiring vampires, while on the trail of the ominous damsel in distress.",1
I Still Believe,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,0
Grey Gardens,"Meet a mother and daughter, high-society dropouts, reclusive cousins of Jackie O., managing to thrive together amid the decay and disorder of their East Hampton, NY, mansion, making for an eerily ramshackle echo of the American Camelot.",1
My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,1
Remo Williams: The Adventure Begins,"An officially ""dead"" cop is trained to become an extraordinary unique assassin in service of the US President.",0
Night of the Living Dead,"When the unburied dead return to life and seek human victims, seven refugees shelter in a house in the Pennsylvanian countryside.",0
Gringo,"GRINGO, a dark comedy mixed with white-knuckle action and dramatic intrigue, explores the battle of survival for businessman Harold Soyinka (David Oyelowo) when he finds himself crossing the line from law-abiding citizen to wanted criminal.",0
Rathnam,Rathnam works as a henchman under MLA Panner Selvam. A girl travels to Vellore for an interview and a few rowdies try to kill her but Rathnam saves her and becomes her guardian angel. How long can he protect her?,1
Bringing Down the House,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",0
Fly Away Home,A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,0
Ride Along 2,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",0
La Vie En Rose,"Biopic of the iconic French singerÉdith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",1
Dr. Giggles,"A madman who believes he's a doctor comes to the town where his crazy father was killed, and soon begins murdering people and becoming infatuated with a teenage girl who has a heart condition.",0
T.I.M.,Prosthetics engineer Abi moves to the countryside to work on Integrate Robotic's latest product - a humanoid artificial intelligence called T.I.M. - Technologically. Integrated. Manservant.,0
Frida,"A raw and magical journey into the life of iconic artist Frida Kahlo, told through her own words from diaries, letters, essays, and interviews. Vividly brought to life with lyrical animation inspired by her unforgettable artwork.",1
Jason Goes to Hell: The Final Friday,Serial killer Jason Voorhees' supernatural origins are revealed.,0
The Architecture of Love,"Raia is a famous writer who suffers from writer's block. In order to get inspired again, he then went to New York. It was in that city that Raia met River and then got involved in a love story that was overshadowed by the past.",1
Coma,When a young female doctor notices an unnatural amount of comas occurring in her hospital she uncovers a horrible conspiracy.,0
Screamers,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience.",0
Repo Men,"Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.",0
Love on the Run,A runaway bride and an undercover reporter get caught up in political intrigue as they lead a merry chase across Europe and uncover a spy plot.,0
Down Periscope,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",0
Dirty Work,An naive personal assistant is drawn into a murder,0
Double Dragon,"Two brothers have half of a powerful ancient Chinese talisman. An evil gang leader has the other half, and determines to get the brothers' half and have a complete medallion so he can gain absolute power.",0
Radioactive,The incredible true story of Marie Sklodowska-Curie and her Nobel Prize-winning work that changed the world.,0
The Little Vampire,"A lonely American boy living in Scotland makes a new best friend, a fellow nine year-old who happens to be a vampire.",0
Throw Momma from the Train,A bitter ex-husband wants his former spouse dead. A put-upon momma's boy wants his mother dead. Who will pull it off?,0
The Invisible Man,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",1
Act of Valor,An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.,0
"The Way, My Way","Based on the best selling Camino memoir, The Way, My Way, written by Bill Bennett, the film documents one man's journey along the Camino de Santiago, searching for meaning, not realizing it was right in front of him, one step at a time.",1
My Bodyguard,"When a boy comes to a new school and gets harassed by a bully, he acquires the services of the school's most feared kid as a bodyguard.",1
Collateral Damage,"After his family is killed by a terrorist act, a firefighter goes in search of the one responsible.",0
Fear Street: 1666,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,0
Tomcats,"At the wedding of a friend, the remaining bachelors bet on staying single. Seven years later, one of the two remaining loses $51,000 in Vegas. He must get the other guy married to cash in and pay his debt or die. A cute woman helps him.",0
Angst,A troubled man gets released from prison and starts taking out his sadistic fantasies on an unsuspecting family living in a secluded house.,1
Frenzy,"A serial murderer is strangling women with a necktie. The London police have a suspect, but he is the wrong man.",1
The Big Sky,The success of the journey focuses on keeping the Indian girl alive as well as themselves to complete trade with the Blackfeet.,0
Above Suspicion,The true-crime story leading to the first-ever conviction of an F.B.I. Agent for murder.,0
Better Than Chocolate,"Maggie, 19, works at a lesbian/LGBT bookstore. Her mom's getting divorced and has invited herself to stay with Maggie. Maggie hasn't told her, she's lesbian. Her new girlfriend moves in as well.",0
Jodorowsky's Dune,The story of cult film directorAlejandro Jodorowsky's ambitious but ultimately doomed film adaptation of the seminal science fiction novel.,1
Sky Captain and the World of Tomorrow,"After New York City receives a series of attacks from giant flying robots, a reporter teams up with a pilot in search of their origin, as well as the reason for the disappearances of famous scientists around the world.",0
Rumble Through the Dark,"In the dark landscape of the Mississippi Delta, a bare knuckle cage fighter seeks to repay his debts in a final, desperate attempt to salvage the family home of his dying foster mother.",0
American Woman,A woman raises her young grandson after her daughter goes missing.,0
Badarawuhi di Desa Penari,"The village still holds many mysteries. Piece by piece of mystery is revealed, including the terror of the most feared entity, namely, Badarawuhi.",0
Un prophète,A delinquent Muslim man struggles to get by in prison until he is taken under the wing of a powerful mob boss. But his gradual rise through the mob's ranks brings him in conflict with his mentor.,1
My Days of Mercy,The daughter of a man on death row falls in love with a woman on the opposing side of her family's political cause.,0
Rabid,"The quiet Rose works in women's fashion clothing, hoping to be a designer. A traffic accident damages her face. She gets experimental stem cell treatment, leaving her stronger and prettier than ever - but there's a side effect.",0
On the Rocks,A young mother reconnects with her larger-than-life playboy father on an adventure through New York.,0
The Mean One,"In a sleepy mountain town, Cindy's parents are murdered and her Christmas is stolen by a bloodthirsty green figure in a red Santa suit.",0
The Good Girl,A discount store clerk strikes up an affair with a stock boy who considers himself the incarnation of Holden Caulfield.,0
LBJ,"Lyndon B. Johnson aligns himself with John F. Kennedy, rises to the Presidency, and deals with the civil rights struggles of the 1960s.",0
The Proposition,"A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother.",1
Snow Dogs,"When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",0
While We're Young,A middle-aged couple's career and marriage are overturned when a disarming young couple enters their lives.,0
Neugdaesanyang,"Follows dangerous criminals on a cargo ship who are transported from the Philippines to South Korea, as they unleash a sinister force after an escape attempt leads to a riot.",0
Cowboy Bebop: Tengoku no tobira,"A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit.",1
Rescue Dawn,A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,1
The Con Is On,"In an effort to avoid paying off a massive gambling debt to a notorious mobster in England, a couple flee to Los Angeles and hatch a jewel theft plot.",0
Outland,A federal marshal stationed at a mining colony on the Jupiter moon of Io uncovers a drug-smuggling conspiracy. He gets no help from the workers or authorities when he finds himself marked for murder.,0
Looker,"Three of four models, who had plastic surgery done by Larry after a computed list, are dead. Neither the cops nor Larry believe they're suicides. Larry investigates and stays with the fourth model. Who's behind the lists and murders?",0
Birdemic: Shock and Terror,"A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. As the death toll rises, two citizens manage to fight back, but will they survive Birdemic?",0
Big Game,A young teenager camping in the woods helps rescue the President of the United States when Air Force One is shot down near his campsite.,0
Death Wish II,"Architect Paul Kersey once again becomes a vigilante when he tries to find the five street punks who murdered his daughter and housekeeper, this time on the dark streets of Los Angeles.",0
The First Time,A shy senior and a down-to-earth junior fall in love over one weekend.,0
Vengeance: A Love Story,One vigilante policeman comes to the aid of a single mother seeking to bring her rapists to justice.,0
The Secret Life of Bees,"In 1964, a teenage girl in search of the truth about her mother runs away to a small town in South Carolina and finds a family of independent women who can connect her to her past.",1
Imitation of Life,An aspiring white actress takes in an African American widow whose mixed-race daughter is desperate to be seen as white.,1
Forsaken,"In 1872, an embittered gunslinger named John Henry Clayton attempts to make amends with his estranged father Reverend Samuel Clayton while their community is besieged by ruthless land-grabbers.",0
6 Days,"Based on the Iranian Embassy siege of 1980, this action-thriller dramatizes a six-day standoff between armed Iranian Arabs and SAS soldiers ready for a counterattack.",0
Puan,"At the University of Buenos Aires, a rivalry arises between two Philosophy teachers for a professorship position.",0
Ultimo mondo cannibale,"An oil prospector is captured and imprisoned by a violent and primitive cannibal tribe in the Philippines' rain forest. He manages to escape with a female hostage, and begins searching for his missing companion and their airplane.",0
Shooting Stars,A look at the young life of basketball star LeBron James. Feature film adaptation of LeBron James and Buzz Bissinger's book 'Shooting Stars'.,0
Ruthless People,"A couple cheated by a vile businessman kidnaps his wife in retaliation, not knowing that their enemy is delighted that they did.",0
My Little Pony: A New Generation,"After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.",0
Brooklyn's Finest,Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.,0
Waterloo,"Facing the decline of everything he has worked to obtain, conqueror Napoleon Bonaparte and his army confront the British at the Battle of Waterloo.",1
The Breach,"Counting down his last days as Chief of Police in the tiny town of Lone Crow, John Hawkins must investigate one last case when a mangled body with uncanny wounds washes up on the shores of the Porcupine River.",0
Soleil rouge,"In 1870, a gang robs a train and steals a ceremonial Japanese sword meant as a gift for the U.S. President, prompting a manhunt to retrieve it.",0
Suspect Zero,A mysterious serial killer is preying on other serial killers and one FBI agent suspects there may be more to the vigilante than the obvious characteristics.,0
Eddie and the Cruisers,"A television newswoman picks up the story of a 1960s rock band whose long-lost leader Eddie Wilson may still be alive, while searching for the missing tapes of the band's never-released album.",0
It's a Wonderful Knife,"After saving her town from a psychotic killer, Winnie Carruthers' life is less than wonderful. When she wishes she'd never been born, she finds herself in a nightmare parallel universe where without her, things could be much, much worse.",0
Earthquake,"Various interconnected people struggle to survive when an earthquake of unimaginable magnitude hits Los Angeles, California.",0
The Car,"A small desert town is terrorized by a powerful, seemingly possessed car, and the local sheriff may be the only one who can stop it.",0
Umma,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",0
Parallel,"Follows the journey of Vanessa, a grief-stricken woman who mysteriously finds herself navigating between parallel spaces.",0
We Are Marshall,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive.",1
The Sand,"After an all-night graduation beach party, a group of hung-over twenty-somethings awake to a beating sun, and a seemingly carnivorous beach that devours anything with a heartbeat that touches the sand.",0
Tekken,Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.,0
The Mechanic,An aging hitman befriends a young man who wants to be a professional killer. Eventually it becomes clear that someone has betrayed them.,0
Biutiful,A man dying of cancer tries his best to leave the world on his own terms.,1
Baby Boom,The life of super-yuppie J.C. is thrown into turmoil when she inherits a baby from a distant relative.,0
The Manhattan Project,"A high school prodigy builds an atomic bomb with stolen plutonium to win the 45th National Science Fair and expose a nuclear weapons lab posing as a nuclear medical research facility in Ithaca, NY.",0
Dream Lover,A successful businessman tries to uncover what is wrong with his wife.,0
Like Crazy,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",0
Elles,"On her latest assignment, a journalist for Elle immerses herself in a prostitution ring run by university students.",0
The Half of It,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",0
The Dogs of War,"Mercenary James Shannon, on a reconnaissance job to the African nation of Zangaro, is tortured and deported. He returns to lead a coup.",0
Otherhood,"A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most importantly, yourself.",0
"Paris, je t'aime","Through the neighborhoods of Paris, love is veiled, revealed, imitated, sucked dry, reinvented, and awakened.",1
Two-Lane Blacktop,"While drag-racing through the American Southwest in a Chevrolet 150, a driver and his mechanic cross paths with an enigmatic hitchhiker and the tall-tale-spinning driver of a GTO.",1
Kyss mig,A young woman engaged to be married finds herself in an affair with her soon-to-be stepmother's lesbian daughter.,0
Kama Sutra: A Tale of Love,Two female friends become sexual rivals at maturity.,0
The House That Dripped Blood,An anthology of four horror stories revolving around a mysterious rental house in the U.K.,0
Airborne,"California born and raised surfer, Mitchell Goosen has to spend six months in Ohio while learning the hard way- love is where the heart is.",0
Kokuriko-zaka kara,A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.,1
Gods and Generals,"The rise and fall of confederate general Thomas ""Stonewall"" Jackson, as he meets with military success against the Union from 1861 to 1863, when he is accidentally killed by his own soldiers.",0
The Turning,"A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",0
Gojira: Fainaru uôzu,"Godzilla's fiftieth Anniversary project, in which Godzilla travels around the world to fight his old foes and his allies plus a new, mysterious monster named Monster X.",0
Presence,Showcases a suburban house inhabited by a mysterious entity.,0
Chisum,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County land war.,0
The Big Green,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",0
Ich bin dein Mensch,"In order to obtain research funds for her studies, a scientist accepts an offer to participate in an extraordinary experiment: for three weeks, she is to live with a humanoid robot, created to make her happy.",1
Nuovo Olimpo,"Two 25-year-old men who meet by chance, fall madly in love, and are then separated due to an unexpected event. For the next thirty years they pursue the hope of finding each other again.",1
Bob & Carol & Ted & Alice,Trendy West Coasters Bob and Carol try wife-swapping with square Ted and Alice.,0
Che?,"During her Italian vacation, a young and beautiful American tourist finds herself as a guest in a coastal villa inhabited by some odd people.",0
One-Eyed Jacks,"After robbing a bank in Mexico, Dad Longworth absconds with the loot leaving his partner Rio to be captured by the Rurales. Rio escapes prison but struggles with his conflicting desires to love Dad's stepdaughter Louise and to get revenge.",1
Jigsaw,A woman is found murdered in a house along the coast from Brighton. Local detectives Fellows and Wilks lead an investigation methodically following up leads and clues mostly in Brighton and Hove but also further afield.,1
Saul fia,A Jewish-Hungarian concentration camp prisoner sets out to give a child he mistook for his son a proper burial.,1
The Avengers,Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.,0
Magic in the Moonlight,A romantic comedy about an Englishman brought in to help unmask a possible swindle. Personal and professional complications ensue.,0
And Soon the Darkness,"A couple of American girls on a bike trip in a remote part of Argentina split, and one goes missing, the other must find her before her worst fears are realized.",0
Find Me Guilty,"In the late 1980s, a low level gangster named Jackie DiNorscio defends himself in court in what became the longest criminal trial in American judicial history.",1
The Sessions,A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest.,1
Gone,A woman is convinced her kidnapper has returned when her sister goes missing.,0
Stuck on You,Conjoined twins from Martha's Vineyard move to Los Angeles so that one of them can pursue an acting career.,0
Women in Trouble,"A serpentine day in the life of ten seemingly desperate women: a porn star, a flight attendant, a psychiatrist, a masseuse, a bartender, a pair of call girls, an actress, a masseuse. All of them with one crucial thing in common. Trouble.",0
Donovan's Reef,"In an ideal society on a picturesque South Seas isle, diverse people live in harmony until an outsider disrupts the balance.",0
"I, Frankenstein","Frankenstein's creature finds himself caught in an all-out, centuries-old war between two immortal clans.",0
Then Came You,A lonely widow plans a trip around the world with her husband's ashes to visit the places they loved in the movies. The first stop on the journey changes her life forever.,0
C'est arrivé près de chez vous,A film crew follows a ruthless thief and heartless killer as he goes about his daily routine. But complications set in when the film crew lose their objectivity and begin lending a hand.,1
The Critic,"The Critic is a story of ambition, blackmail and desire with a dazzling anti-hero at its dark heart. A whodunnit wrapped in a Faustian pact which winds tighter and tighter. Patrick Marber adapted the script from Anthony Quinn's novel.",0
The East,An operative for an elite private intelligence firm finds her priorities changing dramatically after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,0
Roxanne,The large-nosed C.D. Bales is in love with the beautiful Roxanne; she falls for his personality but another man's looks.,0
No se aceptan devoluciones,A man who has made a new life for himself and the daughter left on his doorstep 6 years ago finds his family threatened when the birth mother resurfaces.,1
The Party,"Janet hosts a party to celebrate her new promotion, but once the guests arrive, it becomes clear that not everything will be going down as smoothly as the red wine.",0
Victoria,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,1
Sacrifice,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",1
Erased,"An ex-CIA agent and his estranged daughter are forced on the run when his employers erase all records of his existence, and mark them both for termination as part of a wide-reaching international conspiracy.",0
10x10,"A man abducts a flower shop owner and holds her captive in a small, soundproof room in an effort to extract a dark secret from her past.",0
Nell,"In a remote woodland cabin, a small-town doctor discovers Nell - a beautiful young hermit-woman with many secrets.",0
Six Pack,A race car driver is driving to a race in a motor home with his race car on a trailer. His car gets stripped of parts. He ends up with 6 orphan kids on his way to the race.,0
The Lady from Shanghai,"Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot.",1
The Center of the World,"A successful computer engineer meets a stripper in a cafe. He offers her $10,000 and she offers three days and nights of no penetration in Vegas.",0
Five Blind Dates,A woman is told by a fortune teller that she will meet her soulmate on one of the next five dates she goes on.,0
Newness,"In contemporary Los Angeles, two millennials navigating a social media-driven hookup culture begin a relationship that pushes both emotional and physical boundaries.",0
Milk Money,A group of young boys befriend a prostitute named V.,0
Sick Girl,"A female driven comedy about a woman who feels that she and her friends have grown apart. This is a ""be careful what you wish for film"" where a simple little lie begins to tear a whole community apart.",0
The Lords of Flatbush,Two members of a social club in 1950s Brooklyn have more interest in romance than in rumbles.,0
Hypnotic,"A young woman seeking self-improvement enlists the help of a renowned hypnotherapist. But after a handful of intense sessions, she discovers unexpected and deadly consequences.",0
Arctic Blast,"When a solar eclipse sends a colossal blast of super chilled air towards the earth, it then sets off a catastrophic chain of events that threatens to engulf the world in ice and begin a new Ice Age.",0
Nowhereland,"A teenage girl, whose mother is at the end of her career as a sex escort, has to find a way to make money to support them both in Los Angeles.",0
The Swan Princess,A power-hungry sorcerer curses a princess to live as a swan by day in this tale of everlasting love.,0
Chompy & the Girls,A troubled woman meets her father for the first time and their encounter goes from awkward to alarming when they witness a man swallow a little girl whole.,0
The Queen,"After the death ofPrincess Diana,Queen Elizabeth IIstruggles with her reaction to a sequence of events nobody could have predicted.",1
Laal Singh Chaddha,"The story of Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness.",0
Voces,"Daniel and Sara have a 9-year-old son, Eric, and they've just moved to a new home not knowing the neighbours call it ""the house of the voices"". Eric is the first one to notice the odd noises behind each door.",0
A Bad Moms Christmas,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",0
"Dance, Fools, Dance","After the death of her father and loss of the family fortune, Bonnie (Joan Crawford) gets a job as a cub reporter while her brother (William Bakewell) becomes involved in bootlegging.",0
A Hard Day's Night,"Over two ""typical"" days in the life ofThe Beatles, the boys struggle to keep themselves and SirPaul McCartney's mischievous grandfather in check while preparing for a live TV performance.",1
Napola - Elite für den Führer,Friedrich's boxing skills gets him in an elite Nazi high school in a castle in 1942. He enrolls against his dad's wish as it promises a brighter future. It's not what he expected.,1
The Independent,A young journalist discovers a conspiracy involving a U.S. Presidential candidate that could change the election and the fate of the country.,0
Mavka: Lisova pisnya,"Mavka, a Soul of the Forest, faces an impossible choice between love and her duty as Guardian of the Heart of the Forest when she falls in love with a human, a talented young musician Lucas.",0
The Crow: Salvation,Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of.,0
Death at a Funeral,A funeral ceremony turns into a debacle of exposed family secrets and misplaced bodies.,0
Reds,"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.",1
Let It Snow,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.",0
Bis ans Ende der Welt,"In 1999, Claire Tourneur's life is forever changed after she survives a car crash. She rescues Sam and travels the world with him. Writer Eugene Fitzpatrick follows and writes their story as a method of recording dreams is being developed.",0
Maniac Cop,A killer dressed in a police uniform begins murdering innocent people on the streets of New York City.,0
The Little Girl Who Lives Down the Lane,"A thirteen-year-old girl, who lives with her absentee father, befriends a disabled teenage amateur magician and invites him, gradually, into her tenuous struggle against a predatory local neighbor.",1
Lorenzo's Oil,"Lorenzo Odone, a Virginia 5-year-old, develops a degenerative nerve disease so rare that nobody is working on a cure, so his parents decide to immerse themselves in research and tackle the problem themselves.",1
Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",1
